zipcode,num_landmark,Youth Center,Zoo,Theatre,Social Services,Sports Complex,Recreation Building,Recreation Center,Museum,Monument,Ice Rink,Historic,Historic Landmark,Garden,Cultural
19004,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19096,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19102,37,0,0,1,3,0,0,0,0,0,0,0,0,0,0
19103,91,0,0,1,1,0,0,0,4,1,0,0,1,0,0
19104,404,0,0,2,2,1,0,0,2,0,0,0,0,12,0
19106,82,0,0,1,0,0,0,0,23,0,0,0,9,0,0
19107,84,0,0,3,1,0,0,0,3,0,0,0,1,0,0
19108,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19110,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19111,191,2,0,0,0,0,0,0,0,0,0,0,0,0,6
19112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19114,174,0,0,0,0,0,0,0,1,0,0,0,0,2,9
19115,153,0,0,0,1,2,0,0,0,0,0,0,0,0,5
19116,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19118,128,0,0,2,0,10,0,0,1,0,0,0,0,0,1
19119,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19120,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19121,183,0,0,0,5,0,0,0,1,0,0,0,1,1,0
19122,180,0,0,0,0,2,0,0,0,0,0,0,0,0,0
19123,76,0,0,0,3,0,0,0,2,0,0,0,1,1,0
19124,230,0,0,0,1,5,0,0,2,0,0,0,0,0,0
19125,107,0,0,0,1,0,0,0,0,0,0,6,0,0,0
19126,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19127,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19128,111,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19129,133,0,0,0,1,3,0,0,0,0,0,0,0,1,0
19130,94,0,0,0,1,0,0,0,5,0,0,0,3,1,1
19131,333,0,108,0,2,4,0,0,2,0,0,0,2,1,0
19132,254,0,0,0,1,0,0,0,1,0,0,0,1,2,0
19133,119,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19134,142,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19135,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19136,125,0,0,0,0,2,0,0,0,0,0,0,0,0,0
19137,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19138,120,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19139,199,0,0,1,9,1,0,0,4,0,0,0,3,7,1
19140,285,1,0,0,0,4,0,0,4,0,0,0,1,0,2
19141,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19142,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19143,185,0,0,0,1,0,0,0,0,0,0,0,0,2,0
19144,331,0,0,1,1,9,0,0,29,0,0,0,1,4,2
19145,140,0,0,0,1,1,0,0,1,0,0,0,0,0,0
19146,164,0,0,1,4,0,0,0,1,0,0,0,0,6,1
19147,146,0,0,3,0,1,1,1,4,0,2,0,1,5,1
19148,146,0,0,0,2,5,0,0,0,1,0,0,0,1,0
19149,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19150,59,0,0,0,0,7,0,0,0,0,0,0,0,0,0
19151,151,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19152,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19153,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19154,140,0,0,0,2,0,0,0,0,0,0,0,0,0,0
19314,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500,15,0,0,0,0,0,0,0,0,0,0,0,11,0,0
nan,951,0,1,2,0,22,0,0,30,1,1,0,31,4,6
