zipcode,YEAR,num_playstreets,year
19104,2020-01-01,12,2020
19120,2020-01-01,18,2020
19121,2020-01-01,21,2020
19122,2020-01-01,5,2020
19124,2020-01-01,15,2020
19125,2020-01-01,1,2020
19126,2020-01-01,2,2020
19130,2020-01-01,3,2020
19131,2020-01-01,8,2020
19132,2020-01-01,39,2020
19133,2020-01-01,21,2020
19134,2020-01-01,24,2020
19135,2020-01-01,1,2020
19136,2020-01-01,2,2020
19138,2020-01-01,6,2020
19139,2020-01-01,16,2020
19140,2020-01-01,36,2020
19141,2020-01-01,9,2020
19142,2020-01-01,12,2020
19143,2020-01-01,27,2020
19144,2020-01-01,8,2020
19145,2020-01-01,11,2020
19146,2020-01-01,12,2020
19147,2020-01-01,1,2020
19148,2020-01-01,5,2020
19149,2020-01-01,1,2020
19150,2020-01-01,1,2020
