zipcode,DATE_INSTALLED,num_pools,year
19104,2006-01,2,2006
19111,2006-01,3,2006
19114,2012-01,1,2012
19115,2014-01,1,2014
19119,2006-01,1,2006
19120,2006-01,2,2006
19121,2006-01,2,2006
19121,2013-01,3,2013
19121,2014-01,4,2014
19122,2006-01,2,2006
19122,2016-01,3,2016
19123,2006-01,2,2006
19124,2006-01,2,2006
19124,2017-01,3,2017
19125,2006-01,1,2006
19125,2016-01,2,2016
19127,2006-01,1,2006
19128,2006-01,1,2006
19130,2012-01,1,2012
19131,2006-01,3,2006
19132,2006-01,1,2006
19132,2016-01,2,2016
19132,2018-01,3,2018
19133,2006-01,2,2006
19133,2011-01,3,2011
19134,2006-01,6,2006
19135,2008-01,1,2008
19135,2016-01,2,2016
19136,2006-01,2,2006
19137,2015-01,1,2015
19138,2006-01,3,2006
19139,2006-01,4,2006
19140,2006-01,2,2006
19141,2006-01,2,2006
19142,2006-01,1,2006
19143,2006-01,2,2006
19143,2017-01,3,2017
19145,2006-01,2,2006
19146,2006-01,3,2006
19146,2018-01,4,2018
19147,2006-01,1,2006
19147,2016-01,2,2016
19148,2006-01,1,2006
19148,2016-01,2,2016
19149,2018-01,1,2018
19151,2006-01,1,2006
