zipcode,num_schools,TYPE_SPECIFIC_ARCHDIOCESE,TYPE_SPECIFIC_CHARTER,TYPE_SPECIFIC_CONTRACTED,TYPE_SPECIFIC_DISTRICT,TYPE_SPECIFIC_PRIVATE
19102,2,0,2,0,0,0
19103,10,1,2,0,1,5
19104,20,0,3,1,10,6
19106,6,1,2,0,2,1
19107,3,2,1,0,0,0
19111,12,1,1,0,7,3
19114,10,2,0,0,3,5
19115,7,1,0,0,3,3
19116,9,1,3,0,3,2
19118,6,1,0,0,1,4
19119,11,1,0,0,3,7
19120,17,1,3,0,10,3
19121,22,0,3,2,10,7
19122,13,1,1,2,7,2
19123,11,1,4,1,4,1
19124,25,4,6,3,8,4
19125,11,2,1,0,6,2
19126,5,0,0,0,3,2
19127,2,0,0,0,1,1
19128,12,1,1,0,6,4
19129,6,1,1,0,2,2
19130,16,1,1,1,9,4
19131,25,1,9,0,5,10
19132,14,1,3,2,5,3
19133,10,0,2,1,6,1
19134,16,3,3,1,8,1
19135,5,0,3,0,2,0
19136,11,4,1,0,4,2
19137,4,0,3,0,1,0
19138,13,1,3,1,5,3
19139,16,1,1,0,11,3
19140,32,2,6,1,14,9
19141,13,1,1,0,8,3
19142,13,1,2,1,5,4
19143,21,1,8,0,7,5
19144,18,0,3,0,5,10
19145,15,3,4,0,4,4
19146,10,1,3,0,3,3
19147,12,0,2,0,7,3
19148,15,3,2,0,9,1
19149,9,2,0,0,5,2
19150,4,1,0,0,3,0
19151,14,1,3,0,4,6
19152,6,1,0,0,4,1
19153,1,0,0,0,1,0
19154,11,4,1,0,4,2
