OBJECTID,SEG_ID,STREETNAME,ST_CODE,ONEWAY,CLASS,TYPE,Shape__Length
1,420562,SPRING GARDEN  ST,73800,TF,2,Conventional,446.277402862962
2,420568,SPRING GARDEN  ST,73800,TF,2,Conventional,448.559137020085
3,420554,SPRING GARDEN  ST,73800,TF,2,Conventional,449.023565497288
4,421801,N  21ST  ST,88190,TF,4,Sharrow,130.84075374999
5,421802,N  21ST  ST,88190,TF,4,Sharrow,106.975263393816
6,420542,SPRING GARDEN  ST,73800,TF,2,Conventional,535.905783358478
7,421797,N  21ST  ST,88190,TF,4,Sharrow,100.651714557381
8,421798,N  21ST  ST,88190,TF,4,Sharrow,150.323803353501
9,420107,N  15TH  ST,88070,TF,4,Sharrow,149.612393976538
10,420084,N  15TH  ST,88070,TF,4,Sharrow,120.19165021765
11,521306,N  15TH  ST,88070,TF,4,Sharrow,203.162500619634
12,422029,N  15TH  ST,88070,TF,4,Sharrow,134.480617639103
13,422323,N  15TH  ST,88070,TF,4,Sharrow,156.79389624419
14,422324,N  15TH  ST,88070,TF,4,Sharrow,146.36194955854
15,420217,N  15TH  ST,88070,TF,4,Sharrow,248.787081906765
16,421532,N  15TH  ST,88070,TF,4,Sharrow,215.069586640917
17,421535,N  15TH  ST,88070,TF,4,Sharrow,221.180666096725
18,421461,N  15TH  ST,88070,TF,4,Sharrow,407.218980016566
19,421462,N  15TH  ST,88070,TF,4,Sharrow,49.6858233941866
20,421449,FAIRMOUNT  AVE,33280,B,3,Conventional,450.15750114887
21,421450,FAIRMOUNT  AVE,33280,B,3,Conventional,311.304432746327
22,421463,N  15TH  ST,88070,TF,4,Sharrow,136.349421043974
23,421448,FAIRMOUNT  AVE,33280,B,3,Conventional,140.184650577831
24,421452,FAIRMOUNT  AVE,33280,B,3,Conventional,146.350424364719
25,422107,N  15TH  ST,88070,TF,4,Sharrow,213.09246597919
26,421447,FAIRMOUNT  AVE,33280,B,3,Conventional,453.791607048202
27,421464,N  15TH  ST,88070,TF,4,Sharrow,189.906899889578
28,421433,N  15TH  ST,88070,TF,4,Sharrow,197.228423181954
29,422004,N  15TH  ST,88070,TF,4,Sharrow,223.455153935331
30,420458,N  15TH  ST,88070,TF,4,Sharrow,252.197707727823
31,421803,N  21ST  ST,88190,TF,4,Sharrow,228.057333177597
