OBJECTID,NAME,ADDRESS,FEAT_TYPE,SUB_TYPE,VANITY_NAME,SECONDARY_NAME,BLDG,PARENT_NAME,PARENT_TYPE,ACREAGE,PARENT_ACREAGE,Shape__Area,Shape__Length
1,Chestnut Hill East Station,100 E. Chestnut Hill Ave,Transportation,,,,Y,,,0.20611165,2839.62372184,8978.18768310547,913.041444208963
2,India Pentecostal Church,1001 HOWELL ST,House of Worship,,,,Y,,,0.04518591,2839.62372184,1968.29028320313,193.948755832208
3,Little Flower Catholic School High School,1001 W LUZERNE ST,School,High School,,,Y,,,1.28975346,2839.62372184,56181.4360351563,1754.99234099833
4,Sandmeyer Lane Plaza,10006 SANDMEYER LN,Shopping Center Ground,,,,Y,Sandmeyer Lane Plaza,Shopping Center Ground,0.25136378,0.74527497,10949.3621826172,526.073708924743
5,Trocadero Theatre,1003-05 ARCH ST,Theatre,,,,Y,,,0.20851042,2839.62372184,9082.67785644531,456.824201297759
6,Northwood Park,1003 FOULKROD ST,Park,,,,Y,Northwood Park,Park,0.00402962,6.6979487,175.529724121094,55.2656849835205
7,Union Transfer,1004-26 SPRING GARDEN ST,Building,,Spring Garden Farmers Market,,Y,,,0.60989313,2839.62372184,26566.8385620117,768.155314247369
8,Mt Calvary Baptist Church,1006-10 W YORK ST,House of Worship,,,,Y,,,0.25956192,2839.62372184,11306.4720458984,467.200886105401
9,Love Kingdom Fellowship Church,1009-23 S 3RD ST,House of Worship,,,,Y,,,0.23906222,2839.62372184,10413.5085449219,494.007277684287
10,St Thomas Orthodox Church,1009 UNRUH AVE,House of Worship,,,,Y,,,0.87232606,2839.62372184,37998.3709716797,1411.05115664068
11,Engine 8 Philadelphia Fire,101-15 N 4TH ST,Fire Station,,,,Y,,,0.23214438,2839.62372184,10112.1683959961,459.94898412935
12,Shot Tower Recreation Center Building,101-31 CARPENTER ST,Playground,,,,Y,Shot Tower Recreation Center,Park,0.16313706,1.4461317,7106.22210693359,379.958024120374
13,International Coin Museum,101 N INDEPENDENCE E MALL,Museum,,,,Y,,,1.12217765,2839.62372184,48881.8627319336,1015.96588955911
14,Sugar House Casino,1001-99 N DELAWARE AVE,Pier,Attraction,,,Y,Suger House Casino,Pier,3.73513592,9.10175948,162701.869689941,2726.90418054776
15,Nest International Christian Academy Pre-K,1001 70TH AVE,School,Preschool,,,Y,,,0.21745915,2839.62372184,9472.48291015625,599.634612158202
16,Watson Comly Elementary School,1001 BYBERRY RD,School,Elementary School,,,Y,,,0.89734722,2839.62372184,39088.2884521484,1358.70962108123
17,Library Branch - Katherine Drexel,11099 KNIGHTS RD,Library,,,,Y,,,0.30767643,2839.62372184,13402.3316040039,486.120131449449
18,Museum of American Jewish History,101 S INDEPENDENCE E MALL,Museum,,,,Y,,,0.49293976,2839.62372184,21472.3698730469,703.033148002142
19,Schuylkill Center for Environmental Education,101 SPRING LN,Nature Center,,,,Y,Schuylkill Center for Environmental Education,Nature Center,0.53864294,364.31813891,23463.1928100586,1666.27862157097
20,PA Convention Center,1201 ARCH ST,Building,,,,Y,,,19.48649849,2839.62372184,848828.478881836,4354.0363459993
21,Ferko Playground,1101 E CAYUGA ST,Playground,,,,Y,Ferko Playground,Playground,0.18813434,19.18750976,8195.09924316406,647.19174481442
22,Ferko Playground Building,1101 E CAYUGA ST,Playground,,,,Y,Ferko Playground,Park,0.29807138,19.18750976,12983.9374389648,499.074224789
23,Juniata Golf Course,1101 E CAYUGA ST,Golf Course,,,,Y,Juniata Golf Course,Golf Course,0.2397192,99.5204151,10442.1262207031,538.689980536898
