OBJECTID,ORGANIZATION,STREET_ADDRESS,ZIP_CODE,NAC_COORDINATOR,PHONE_NUMBER,EMAIL_ADDRESS,WEBSITE_URL,Shape__Area,Shape__Length
1,Greater Philadelphia Asian Social Services (GPASS),4943 N 5th St,19120,Larry White,(215) 456-1662 ext. 119,lwhite@gpasspa.org,gpasspa.org,7991180.16796875,17409.0102602222
2,HACE: Central Office,167 W Allegheny Ave,19140,Stasia Monteiro,(215) 426-8025,smonteiro@hacecdc.org,hacecdc.org,10135997.0625,17600.1494112117
3,Hunting Park Community Revitilization Corporation,3760 N Delhi St,19140,Luz Laboy,(215) 225-5560,hunting.parknac@verizon.net,huntingparknac.org,12111997.5234375,22686.9385136091
4,"Mt. Vernon Manor, Inc.",631 N 39th St,19104,Lorraine Gomez,(215) 475-9492,lorraine@mvmcdc.org,mvmcdc.org,2970721.39453125,11908.3355230098
5,Nicetown CDC,4300 Germantown Ave,19140,Sandra Harmon,(215) 329-1827,sandra@nicetowncdc.org,nicetowncdc.org,16420619.7148438,35551.3648705509
6,UAC/Parkside Association of Philadelphia,1719 N 52nd St,19131,Shakia Boulware,"(215) 877-1198
",sboulware@parksideassociation.org,parksideassociation.org,4152381.87890625,14794.9070766821
7,"Whitman Council, Inc. ",2455 S 3rd St,19148,Maryanne Daniels,(215) 468-4056,whitmancouncilinc@gmail.com,whitmancouncil.com,4474290.3359375,15134.3053148188
8,ACHIEVEability,59 N 60th St,19139,Yolanda Mack,(215) 748-8800,yolanda.mack@achieve-ability.org,achieveability.org,11272210.3710938,27341.1798436538
9,New Kensington CDC/NAC,"2771 Ruth St, Suite 1",19134,Katsi Miranda-Lozada,(215) 427-0350 ext. 116,kmiranda-lozada@nkcdc.org,nkcdc.org,15686849.4453125,36696.5622929497
10,People's Emergency Center CDC,3939 Warren St,19104,Kevin Brown,(267) 777-5820,kevinb@pec-cares.org,pec-cares.org,4567061.12109375,12684.9328302544
11,"South Kensington Community Partners, Inc. ",1301 N 2nd St,19122,Rasheed Davis,(215) 427-3463,info@southkensingtoncommunity.org,southkensingtoncommunity.org,5455540.52734375,13547.8466960924
12,Southwest CDC,6328 Paschall Ave,19142,Mark Harrell,(215) 729-0804,mark@southwestcdc.org,southwestcdc.org,16946960.546875,31065.2776782925
13,Strawberry Mansion Neighborhood Action Center,2829 W Diamond St,19121,Lawrence Battle,(215) 235-7505 ext. 203,lawrencebattlejr@strawberrymansionnac.org,strawberrymansioncdc.org,6094987.3359375,14143.0247153494
14,"Tioga United, Inc.",1539 W Venango St,19140 ,Elizabeth Stokes,(267) 639-6912,tiogaunited@hotmail.com,tiogaunitednac.org,9898446.90234375,14674.0350628899
15,Asociación Puertorriqueños en Marcha (APM),600 W Diamond St,19122,Victoria Cubillos-Canon,(267) 296-7215,victoria.cubillos-canon@apmphila.org,apmphila.org,6199864.56640625,14197.7695992787
16,Brewerytown-Sharswood Civic Association,"3000 ""D"" Master St",19121,Rose Levere,(267) 858-4266,rlevere@brewerytownsharswoodnac.org,brewerytownsharswood.org,4973969.640625,9641.49877806792
17,Philadelphia Chinatown Development Corporation,"301-305 N 9th St
",19107,Yue Wu,(215) 922-2156,ywu@chinatown-pcdc.org,chinatown-pcdc.org,1966885.1171875,7277.91902711353
18,Diversified Community Services (Dixon House),1529 S 22nd St,19146,Meeka Outlaw,(215) 336- 5505 ext. 113,moutlaw@dcsphila.org,dcsphila.org,8349636.58984375,17712.3007920664
19,The Enterprise Center CDC,4548 Market St,19139,Jamar Bordley,(215) 895-4020,jbordley@theenterprisecenter.com,theenterprisecenter.com,4978154.375,16052.3564872366
20,Frankford CDC,4667- 69 Paul St,19124,Christine DeJesus,(215) 743-6580,cdejesus.fcdc@gmail.com,frankfordcdc.org,11994052.6210938,22867.4819963371
21,Germantown United,5320 Germantown Ave,19144,Rhakeim Miller,(215) 856-4303,rmiller@germantownunitedcdc.org,germantownunitedcdc.org,13238542.140625,36333.2729111608
