X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.1919285431389,39.9328927375536,1,1600 Block of S NEWKIRK ST,19145,2020,,2020 Playstreets Program
-75.1674858060937,40.0009277862707,2,3000 Block of N HEMBERGER ST,19132,2020,,2020 Playstreets Program
-75.1711507193699,39.9969142398389,3,2700 Block of N RINGGOLD ST,19132,2020,,2020 Playstreets Program
-75.1245823143885,39.9880140090917,4,1900 Block of E OAKDALE ST,19125,2020,,2020 Playstreets Program
-75.1439598564366,39.9949798576717,5,2800 Block of N FRANKLIN ST,19133,2020,,2020 Playstreets Program
-75.1506087272137,40.0225176547939,6,4500 Block of N HICKS ST,19140,2020,,2020 Playstreets Program
-75.1823716635707,39.976870490345,7,1300 Block of N DOVER ST,19121,2020,,2020 Playstreets Program
-75.1098166734837,39.9974471953797,8,1800 Block of E CORNWALL ST,19134,2020,,2020 Playstreets Program
-75.2150175098268,39.9421984578906,9,1200 Block of GREYLOCK ST,19143,2020,,2020 Playstreets Program
-75.1446021863034,39.9950636806105,10,2800 Block of N 8TH ST,19133,2020,,2020 Playstreets Program
-75.2288506619857,39.9200047877026,11,2600 Block of S DAGGETT ST,19142,2020,,2020 Playstreets Program
-75.1249850541419,40.0349571957058,12,5500 Block of PALETHORP ST,19120,2020,,2020 Playstreets Program
-75.2339781199333,39.9619336218432,13,0 Block of N FRAZIER ST,19139,2020,0-99 Street Range,2020 Playstreets Program
-75.221422564306,39.961966887444,14,100 Block of FARSON ST,19139,2020,,2020 Playstreets Program
-75.1283265862832,39.9960293863674,15,3000 Block of N SWANSON ST,19134,2020,,2020 Playstreets Program
-75.1850812243342,39.9919986988283,16,3200 Block of W DAKOTA ST,19132,2020,,2020 Playstreets Program
-75.1400975920863,39.9881471293884,17,2400 Block of N LAWRENCE ST,19133,2020,,2020 Playstreets Program
-75.1591030246696,40.0477287441488,18,5500 Block of BLAKEMORE ST,19138,2020,,2020 Playstreets Program
-75.1309414794647,39.9932967529826,19,2800 Block of HOPE ST,19133,2020,,2020 Playstreets Program
-75.2228915927551,39.9736604209251,20,1300 Block of N 50TH ST,19131,2020,,2020 Playstreets Program
