X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.2314685945351,39.9878565379559,1,,,3327,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),5339 LEBANON AVE,19131,(215) 877-9880,O,ELEMENTARY/MIDDLE,5-8,,2,CHARTER
-75.2430437606572,39.988180899727,2,,,3377,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),5901 WOODBINE AVE,19131,(215) 879-1800,O,ELEMENTARY SCHOOL,K-4,,2,CHARTER
-75.210184742915,40.0792677889648,3,226515302,,,OUR MOTHER OF CONSOLATION,OUR MOTHER CONSOLATION,7-29 E CHESTNUT HILL AVE,19118,(215) 247-1060,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1887167719836,40.0617500903787,4,226512152,,,HOLY CROSS SCHOOL,HOLY CROSS SCHOOL,148-54 E MOUNT AIRY AVE,19119,(215) 242-0414,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.0302332578359,40.0556500409221,5,226518092,,,ST JEROME SCHOOL,ST JEROME SCHOOL,2950 HOLME AVE,19136,(215) 624-0637,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.0624480755073,40.0534000964871,6,226515552,,,RESURRECTION REGIONAL CATHOLIC SCHOOL,RESURRECTION REGIONAL CATHOLIC SCHOOL,2020 SHELMIRE AVE.,19152,(215) 742-1127,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0233971090183,40.0482015679232,7,226511602,,,FATHER JUDGE HIGH SCHOOL,FATHER JUDGE HIGH SCHOOL,3301 SOLLY AVE,19136,(215) 338-9494,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1283329810164,40.0443545317559,8,226517902,,,ST HELENA INCARNATION REGIONAL CATHOLIC SCHOOL,ST HELENA SCHOOL,6101 N 5TH ST,19120,(215) 549-2947,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.2378955239187,39.9750810686428,9,226519282,,,ST ROSE OF LIMA SCHOOL,ST ROSE OF LIMA SCHOOL,1508 N  WANAMAKER ST,19131,(215) 473-6030,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.2345361262136,40.0644207716868,10,226512702,,,IMMACULATE HEART OF MARY SCHOOL,IMMACULATE HEART OF MARY SCHOOL,815-23 CATHEDRAL RD,19128,(215) 482-2029,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
